Tourist_ID,Alert_Type,Alert_Timestamp,Resolved
T0023,Prolonged Inactivity,2025-09-02 05:17:56,Yes
T0121,SOS Trigger,2025-09-04 04:10:51,Yes
T0133,Prolonged Inactivity,2025-09-04 19:05:16,No
T0161,SOS Trigger,2025-09-06 08:27:29,No
T0157,Prolonged Inactivity,2025-09-03 14:10:24,No
T0197,Location Drop,2025-09-05 23:43:40,No
T0091,Route Deviation,2025-09-01 21:23:00,No
T0192,Location Drop,2025-09-07 04:28:50,Yes
T0175,SOS Trigger,2025-09-03 09:43:48,Yes
T0195,Route Deviation,2025-09-07 04:15:03,No
T0178,Route Deviation,2025-09-07 00:38:48,Yes
T0072,Location Drop,2025-09-01 11:16:47,Yes
T0024,SOS Trigger,2025-09-05 06:43:01,No
T0064,SOS Trigger,2025-09-01 20:13:24,No
T0167,Route Deviation,2025-09-05 01:35:48,Yes
T0002,SOS Trigger,2025-09-06 05:31:02,No
T0146,Route Deviation,2025-09-03 15:22:20,No
T0185,SOS Trigger,2025-09-07 03:58:53,Yes
T0144,Route Deviation,2025-09-07 08:34:03,No
T0096,SOS Trigger,2025-09-06 12:26:14,Yes
T0018,SOS Trigger,2025-09-02 07:53:27,Yes
T0030,SOS Trigger,2025-09-05 01:02:29,Yes
T0120,SOS Trigger,2025-09-07 09:22:46,No
T0155,Route Deviation,2025-09-06 21:33:10,No
T0100,Route Deviation,2025-09-06 19:41:40,No
T0008,Prolonged Inactivity,2025-09-05 13:02:43,Yes
T0156,Route Deviation,2025-09-05 08:06:10,No
T0193,Prolonged Inactivity,2025-09-04 17:23:21,No
T0055,SOS Trigger,2025-09-07 00:24:31,Yes
T0114,SOS Trigger,2025-09-06 03:53:51,Yes
T0163,Prolonged Inactivity,2025-09-02 21:33:18,Yes
T0036,Route Deviation,2025-09-06 06:21:57,No
T0090,Prolonged Inactivity,2025-09-02 22:18:56,Yes
T0188,Route Deviation,2025-09-04 10:03:33,Yes
T0085,Route Deviation,2025-09-06 11:28:18,Yes
T0110,Location Drop,2025-09-05 11:44:14,Yes
T0086,Prolonged Inactivity,2025-09-05 09:07:42,No
T0005,Prolonged Inactivity,2025-09-02 11:18:40,Yes
T0050,SOS Trigger,2025-09-03 19:20:20,No
T0142,Route Deviation,2025-09-02 17:00:19,Yes
T0012,Prolonged Inactivity,2025-09-02 13:30:13,No
T0016,Route Deviation,2025-09-07 09:22:54,Yes
T0069,Route Deviation,2025-09-05 10:24:44,No
T0198,Route Deviation,2025-09-04 17:38:35,No
T0060,SOS Trigger,2025-09-06 02:48:27,No
T0014,Prolonged Inactivity,2025-09-07 10:19:19,Yes
T0153,SOS Trigger,2025-09-05 00:10:24,No
T0073,Prolonged Inactivity,2025-09-05 06:46:06,No
T0070,Route Deviation,2025-09-06 09:13:53,No
T0004,Route Deviation,2025-09-03 22:09:32,Yes
