Alert_ID,Tourist_ID,Restricted_Area,Entry_Time,Exit_Time,Alert_Status
1,854,Cliff Area,2025-01-01 00:00:00,2025-01-01 01:00:00,Triggered
2,485,Cliff Area,2025-01-01 01:00:00,2025-01-01 02:00:00,Resolved
3,400,Unsafe Market,2025-01-01 02:00:00,2025-01-01 03:00:00,Triggered
4,193,Unsafe Market,2025-01-01 03:00:00,2025-01-01 04:00:00,Triggered
5,419,Border Zone,2025-01-01 04:00:00,2025-01-01 05:00:00,Triggered
6,236,Unsafe Market,2025-01-01 05:00:00,2025-01-01 06:00:00,Resolved
7,123,Cliff Area,2025-01-01 06:00:00,2025-01-01 07:00:00,Resolved
8,655,Construction Site,2025-01-01 07:00:00,2025-01-01 08:00:00,Triggered
9,234,Unsafe Market,2025-01-01 08:00:00,2025-01-01 09:00:00,Triggered
10,88,Unsafe Market,2025-01-01 09:00:00,2025-01-01 10:00:00,Triggered
11,23,Cliff Area,2025-01-01 10:00:00,2025-01-01 11:00:00,Triggered
12,357,Cliff Area,2025-01-01 11:00:00,2025-01-01 12:00:00,Resolved
13,442,Border Zone,2025-01-01 12:00:00,2025-01-01 13:00:00,Resolved
14,347,Construction Site,2025-01-01 13:00:00,2025-01-01 14:00:00,Triggered
15,312,Cliff Area,2025-01-01 14:00:00,2025-01-01 15:00:00,Resolved
16,880,Border Zone,2025-01-01 15:00:00,2025-01-01 16:00:00,Resolved
17,370,Cliff Area,2025-01-01 16:00:00,2025-01-01 17:00:00,Triggered
18,665,Border Zone,2025-01-01 17:00:00,2025-01-01 18:00:00,Triggered
19,141,Unsafe Market,2025-01-01 18:00:00,2025-01-01 19:00:00,Resolved
20,707,Border Zone,2025-01-01 19:00:00,2025-01-01 20:00:00,Resolved
21,255,Construction Site,2025-01-01 20:00:00,2025-01-01 21:00:00,Resolved
22,300,Cliff Area,2025-01-01 21:00:00,2025-01-01 22:00:00,Triggered
23,12,Border Zone,2025-01-01 22:00:00,2025-01-01 23:00:00,Triggered
24,879,Construction Site,2025-01-01 23:00:00,2025-01-02 00:00:00,Triggered
25,81,Border Zone,2025-01-02 00:00:00,2025-01-02 01:00:00,Resolved
26,758,Border Zone,2025-01-02 01:00:00,2025-01-02 02:00:00,Triggered
27,743,Unsafe Market,2025-01-02 02:00:00,2025-01-02 03:00:00,Resolved
28,930,Cliff Area,2025-01-02 03:00:00,2025-01-02 04:00:00,Resolved
29,602,Unsafe Market,2025-01-02 04:00:00,2025-01-02 05:00:00,Resolved
