Incident_ID,Tourist_ID,Incident_Type,Severity,Location,Reported_Date,Resolved
1,419,Theft,Medium,Beach,2025-01-01 00:00:00,Yes
2,900,Crowd Issue,Medium,Beach,2025-01-01 12:00:00,Yes
3,193,Lost Item,Medium,Hotel,2025-01-02 00:00:00,No
4,344,Medical Emergency,High,Market,2025-01-02 12:00:00,No
5,402,Lost Item,Medium,Beach,2025-01-03 00:00:00,No
6,146,Accident,Medium,Hotel,2025-01-03 12:00:00,No
7,130,Accident,High,Beach,2025-01-04 00:00:00,Yes
8,357,Crowd Issue,Low,Market,2025-01-04 12:00:00,Yes
9,124,Lost Item,Low,Monument,2025-01-05 00:00:00,Yes
10,208,Accident,Low,Market,2025-01-05 12:00:00,No
11,5,Crowd Issue,Low,Market,2025-01-06 00:00:00,No
12,228,Theft,Low,Market,2025-01-06 12:00:00,Yes
13,851,Lost Item,High,Beach,2025-01-07 00:00:00,Yes
14,396,Lost Item,Medium,Airport,2025-01-07 12:00:00,No
15,892,Theft,Medium,Market,2025-01-08 00:00:00,No
16,484,Theft,Low,Hotel,2025-01-08 12:00:00,No
17,884,Accident,High,Airport,2025-01-09 00:00:00,No
18,912,Theft,Medium,Market,2025-01-09 12:00:00,Yes
19,232,Lost Item,Low,Hotel,2025-01-10 00:00:00,Yes
20,330,Medical Emergency,High,Monument,2025-01-10 12:00:00,No
21,787,Accident,Medium,Monument,2025-01-11 00:00:00,No
22,888,Lost Item,Medium,Beach,2025-01-11 12:00:00,Yes
23,392,Crowd Issue,Low,Hotel,2025-01-12 00:00:00,No
24,410,Accident,High,Beach,2025-01-12 12:00:00,Yes
25,676,Crowd Issue,Low,Airport,2025-01-13 00:00:00,Yes
26,736,Crowd Issue,High,Market,2025-01-13 12:00:00,No
27,541,Accident,High,Monument,2025-01-14 00:00:00,Yes
28,385,Theft,Low,Market,2025-01-14 12:00:00,Yes
29,255,Accident,Medium,Airport,2025-01-15 00:00:00,Yes
30,525,Accident,High,Market,2025-01-15 12:00:00,No
31,992,Theft,Low,Monument,2025-01-16 00:00:00,No
32,290,Theft,Low,Airport,2025-01-16 12:00:00,Yes
33,642,Crowd Issue,Low,Airport,2025-01-17 00:00:00,Yes
34,61,Crowd Issue,Medium,Hotel,2025-01-17 12:00:00,No
35,56,Lost Item,Low,Hotel,2025-01-18 00:00:00,No
36,327,Lost Item,High,Airport,2025-01-18 12:00:00,Yes
37,866,Accident,Low,Airport,2025-01-19 00:00:00,No
38,210,Accident,High,Beach,2025-01-19 12:00:00,No
39,647,Crowd Issue,Medium,Airport,2025-01-20 00:00:00,No
40,303,Crowd Issue,Low,Monument,2025-01-20 12:00:00,Yes
41,834,Medical Emergency,Low,Monument,2025-01-21 00:00:00,No
42,375,Theft,High,Monument,2025-01-21 12:00:00,No
43,944,Medical Emergency,High,Market,2025-01-22 00:00:00,Yes
44,218,Theft,Low,Market,2025-01-22 12:00:00,No
45,587,Lost Item,Medium,Market,2025-01-23 00:00:00,No
46,420,Theft,Low,Beach,2025-01-23 12:00:00,Yes
47,193,Medical Emergency,Low,Market,2025-01-24 00:00:00,Yes
48,251,Crowd Issue,Medium,Airport,2025-01-24 12:00:00,Yes
49,284,Lost Item,High,Market,2025-01-25 00:00:00,Yes
50,994,Crowd Issue,Low,Market,2025-01-25 12:00:00,Yes
51,546,Accident,High,Market,2025-01-26 00:00:00,Yes
52,260,Lost Item,Low,Airport,2025-01-26 12:00:00,No
53,901,Lost Item,Low,Airport,2025-01-27 00:00:00,No
54,834,Lost Item,High,Monument,2025-01-27 12:00:00,No
55,11,Crowd Issue,Medium,Hotel,2025-01-28 00:00:00,Yes
56,810,Accident,High,Monument,2025-01-28 12:00:00,Yes
57,313,Crowd Issue,Medium,Market,2025-01-29 00:00:00,Yes
58,430,Lost Item,Medium,Airport,2025-01-29 12:00:00,Yes
59,776,Theft,Low,Monument,2025-01-30 00:00:00,No
60,134,Medical Emergency,Medium,Airport,2025-01-30 12:00:00,Yes
61,445,Crowd Issue,Medium,Beach,2025-01-31 00:00:00,No
62,980,Lost Item,Low,Market,2025-01-31 12:00:00,Yes
63,171,Medical Emergency,Medium,Airport,2025-02-01 00:00:00,Yes
64,121,Crowd Issue,High,Beach,2025-02-01 12:00:00,Yes
65,234,Medical Emergency,Low,Airport,2025-02-02 00:00:00,No
66,385,Crowd Issue,Low,Market,2025-02-02 12:00:00,No
67,111,Lost Item,Medium,Monument,2025-02-03 00:00:00,Yes
68,796,Crowd Issue,High,Market,2025-02-03 12:00:00,No
69,662,Accident,Low,Airport,2025-02-04 00:00:00,Yes
70,707,Medical Emergency,High,Hotel,2025-02-04 12:00:00,No
71,108,Lost Item,High,Market,2025-02-05 00:00:00,Yes
72,677,Lost Item,Medium,Beach,2025-02-05 12:00:00,Yes
73,951,Medical Emergency,Low,Market,2025-02-06 00:00:00,Yes
