Tourist_ID,Timestamp,Heart_Rate,Body_Temp_C,Steps,SOS_Button
T0162,2025-09-07 02:27:37,100,37.8,6120,0
T0162,2025-09-02 17:48:57,67,36.4,12556,1
T0162,2025-09-04 19:02:46,111,36.8,6779,1
T0162,2025-09-07 18:40:56,65,38.6,1104,0
T0162,2025-09-05 15:52:34,108,38.5,11475,0
T0162,2025-09-01 12:14:47,93,37.9,10304,0
T0162,2025-09-02 23:36:44,61,38.2,13047,0
T0162,2025-09-02 12:10:10,104,38.7,12692,0
T0162,2025-09-02 19:36:37,85,36.4,4885,0
T0162,2025-09-04 01:48:05,101,38.2,11787,0
T0162,2025-09-07 03:27:06,83,38.5,2426,1
T0162,2025-09-05 19:01:31,114,36.6,3328,0
T0162,2025-09-06 14:27:31,80,36.4,8177,0
T0162,2025-09-06 07:03:17,84,36.0,1273,1
T0162,2025-09-04 19:09:52,104,38.7,14871,1
T0162,2025-09-03 10:14:55,107,39.0,14105,0
T0162,2025-09-01 17:39:48,69,36.9,9529,1
T0162,2025-09-04 05:08:15,101,36.5,10271,0
T0162,2025-09-07 16:55:49,112,37.7,4710,0
T0162,2025-09-07 18:30:59,113,38.8,14862,1
T0195,2025-09-06 14:51:51,82,38.5,2270,0
T0195,2025-09-01 03:24:49,85,38.4,9405,0
T0195,2025-09-07 03:14:44,72,37.9,3630,0
T0195,2025-09-06 06:57:37,60,36.7,9389,0
T0195,2025-09-01 10:01:55,108,37.3,13961,1
T0195,2025-09-01 04:29:22,89,37.4,1014,1
T0195,2025-09-07 18:50:02,72,38.1,5218,0
T0195,2025-09-02 17:11:06,119,38.5,13211,0
T0195,2025-09-02 18:53:20,61,36.0,9420,1
T0195,2025-09-02 07:06:45,97,38.6,3304,0
T0195,2025-09-01 02:03:09,96,38.9,4388,0
T0195,2025-09-07 22:05:16,112,37.8,9359,1
T0195,2025-09-04 19:00:00,65,38.8,13413,0
T0195,2025-09-07 10:22:55,64,37.8,12275,0
T0195,2025-09-03 02:15:15,86,37.2,2680,0
T0195,2025-09-07 07:35:12,70,37.0,4123,0
T0195,2025-09-04 13:54:05,62,37.1,2237,0
T0195,2025-09-02 02:50:04,107,36.4,14629,1
T0195,2025-09-03 13:18:18,73,37.3,7684,0
T0195,2025-09-04 19:10:26,90,37.8,4212,0
T0169,2025-09-04 08:09:33,102,37.3,8299,1
T0169,2025-09-01 19:00:31,78,36.4,7287,0
T0169,2025-09-06 05:00:31,61,37.2,4564,0
T0169,2025-09-04 16:18:23,72,37.8,3191,0
T0169,2025-09-06 19:26:03,99,37.6,8712,0
T0169,2025-09-07 07:13:52,70,38.9,13043,0
T0169,2025-09-02 06:55:48,105,37.4,3133,0
T0169,2025-09-03 15:51:56,113,38.1,7006,0
T0169,2025-09-02 08:46:38,104,38.7,1533,0
T0169,2025-09-03 20:57:15,101,39.0,2527,0
T0169,2025-09-06 21:54:16,114,37.8,14025,0
T0169,2025-09-02 04:49:34,66,36.4,8895,0
T0169,2025-09-07 02:28:59,99,38.8,8896,0
T0169,2025-09-04 12:55:46,88,36.2,14006,0
T0169,2025-09-05 23:08:06,81,37.6,11938,0
T0169,2025-09-04 01:35:43,69,38.3,2385,0
T0169,2025-09-03 05:05:31,112,37.8,1546,1
T0169,2025-09-01 12:19:27,91,38.6,9149,0
T0169,2025-09-02 12:09:14,63,36.0,14047,0
T0169,2025-09-07 02:51:45,116,38.0,2113,1
T0099,2025-09-06 14:55:11,116,38.0,11802,0
T0099,2025-09-01 22:38:43,76,36.6,9432,0
T0099,2025-09-05 03:11:12,79,36.3,2065,0
T0099,2025-09-05 01:51:56,79,36.1,10794,0
T0099,2025-09-01 18:24:18,93,37.1,13822,1
T0099,2025-09-04 20:17:25,96,36.3,7163,1
T0099,2025-09-01 06:06:57,104,37.8,3066,1
T0099,2025-09-06 17:05:32,113,37.1,1433,0
T0099,2025-09-04 19:02:33,100,38.7,12827,1
T0099,2025-09-04 23:08:05,114,38.6,7940,1
T0099,2025-09-04 22:39:04,75,37.4,9086,0
T0099,2025-09-03 21:02:25,66,38.4,2325,0
T0099,2025-09-03 07:57:36,89,36.6,13737,0
T0099,2025-09-01 10:50:27,84,36.1,12349,1
T0099,2025-09-04 03:07:59,111,37.1,5621,1
T0099,2025-09-02 07:03:41,66,36.8,13317,1
T0099,2025-09-07 15:56:19,95,38.7,7904,1
T0099,2025-09-05 09:55:45,75,38.0,6728,0
T0099,2025-09-01 10:39:38,107,38.2,4474,0
T0099,2025-09-02 03:25:43,101,36.6,1575,0
T0141,2025-09-02 03:06:09,87,37.5,3122,0
T0141,2025-09-03 20:53:32,120,37.1,4946,0
T0141,2025-09-05 15:57:05,74,38.1,1018,0
T0141,2025-09-05 10:27:16,117,36.9,5174,1
T0141,2025-09-07 07:35:33,76,37.8,11845,0
T0141,2025-09-05 23:08:40,103,37.9,13560,1
T0141,2025-09-02 04:10:20,85,36.3,9012,0
T0141,2025-09-02 20:32:38,84,37.0,9297,1
T0141,2025-09-05 03:01:22,102,38.8,4386,0
T0141,2025-09-01 13:34:07,90,37.3,9348,0
T0141,2025-09-02 02:42:26,77,36.3,14840,0
T0141,2025-09-07 11:06:15,93,36.8,1099,0
T0141,2025-09-05 11:09:53,93,38.6,7820,0
T0141,2025-09-05 05:11:30,75,36.7,13007,0
T0141,2025-09-06 03:37:41,84,36.7,14921,1
T0141,2025-09-03 08:37:10,74,37.2,5413,0
T0141,2025-09-04 09:53:20,75,38.8,3168,1
T0141,2025-09-05 15:29:57,99,37.1,10759,1
T0141,2025-09-07 13:11:11,75,37.1,6418,0
T0141,2025-09-07 17:03:36,70,37.8,11255,0
T0188,2025-09-05 02:37:26,114,38.0,11606,0
T0188,2025-09-01 12:02:40,88,38.3,8995,0
T0188,2025-09-01 05:00:47,93,38.3,9489,0
T0188,2025-09-04 08:25:41,100,38.1,9342,0
T0188,2025-09-07 07:34:22,75,36.1,9256,1
T0188,2025-09-02 17:14:53,118,37.8,8300,1
T0188,2025-09-03 23:04:29,111,37.2,1270,1
