SOS_ID,Tourist_ID,SOS_Type,SOS_Time,Response_Time_Minutes,Resolved
1,710,Health,2025-01-01 00:00:00,35,No
2,471,Health,2025-01-01 02:00:00,27,Yes
3,920,Health,2025-01-01 04:00:00,23,Yes
4,41,Safety,2025-01-01 06:00:00,48,Yes
5,106,Health,2025-01-01 08:00:00,8,Yes
6,311,Natural Disaster,2025-01-01 10:00:00,6,No
7,697,Health,2025-01-01 12:00:00,49,Yes
8,542,Theft,2025-01-01 14:00:00,55,Yes
9,117,Natural Disaster,2025-01-01 16:00:00,39,No
10,405,Theft,2025-01-01 18:00:00,22,Yes
11,116,Theft,2025-01-01 20:00:00,30,Yes
12,79,Safety,2025-01-01 22:00:00,53,Yes
13,772,Health,2025-01-02 00:00:00,59,Yes
14,525,Health,2025-01-02 02:00:00,27,Yes
15,633,Natural Disaster,2025-01-02 04:00:00,35,Yes
16,44,Natural Disaster,2025-01-02 06:00:00,39,Yes
17,709,Safety,2025-01-02 08:00:00,26,No
18,149,Safety,2025-01-02 10:00:00,10,No
19,87,Theft,2025-01-02 12:00:00,34,Yes
20,615,Health,2025-01-02 14:00:00,16,Yes
21,801,Safety,2025-01-02 16:00:00,11,No
22,4,Health,2025-01-02 18:00:00,30,Yes
23,39,Safety,2025-01-02 20:00:00,8,Yes
24,69,Theft,2025-01-02 22:00:00,3,Yes
25,474,Health,2025-01-03 00:00:00,24,Yes
26,408,Safety,2025-01-03 02:00:00,4,Yes
27,159,Theft,2025-01-03 04:00:00,13,Yes
28,579,Theft,2025-01-03 06:00:00,20,No
29,413,Natural Disaster,2025-01-03 08:00:00,9,Yes
30,590,Health,2025-01-03 10:00:00,27,Yes
31,408,Health,2025-01-03 12:00:00,58,No
32,159,Natural Disaster,2025-01-03 14:00:00,35,Yes
33,164,Health,2025-01-03 16:00:00,35,No
34,102,Safety,2025-01-03 18:00:00,42,Yes
35,285,Natural Disaster,2025-01-03 20:00:00,30,No
36,982,Health,2025-01-03 22:00:00,30,Yes
37,59,Health,2025-01-04 00:00:00,52,No
38,146,Safety,2025-01-04 02:00:00,47,No
39,323,Health,2025-01-04 04:00:00,59,Yes
40,341,Theft,2025-01-04 06:00:00,5,Yes
41,606,Safety,2025-01-04 08:00:00,44,No
42,127,Health,2025-01-04 10:00:00,9,Yes
43,810,Health,2025-01-04 12:00:00,14,Yes
44,305,Theft,2025-01-04 14:00:00,49,No
45,801,Natural Disaster,2025-01-04 16:00:00,19,Yes
46,77,Safety,2025-01-04 18:00:00,58,Yes
47,183,Health,2025-01-04 20:00:00,3,No
48,847,Safety,2025-01-04 22:00:00,42,Yes
49,905,Theft,2025-01-05 00:00:00,29,Yes
50,277,Health,2025-01-05 02:00:00,56,No
51,61,Safety,2025-01-05 04:00:00,55,No
52,98,Natural Disaster,2025-01-05 06:00:00,16,Yes
53,89,Natural Disaster,2025-01-05 08:00:00,52,Yes
54,482,Natural Disaster,2025-01-05 10:00:00,20,Yes
55,255,Health,2025-01-05 12:00:00,56,Yes
56,877,Natural Disaster,2025-01-05 14:00:00,12,Yes
57,353,Health,2025-01-05 16:00:00,23,No
58,298,Safety,2025-01-05 18:00:00,38,No
59,896,Safety,2025-01-05 20:00:00,26,No
60,575,Theft,2025-01-05 22:00:00,23,No
61,391,Health,2025-01-06 00:00:00,15,No
62,560,Natural Disaster,2025-01-06 02:00:00,59,No
63,359,Safety,2025-01-06 04:00:00,48,No
64,423,Theft,2025-01-06 06:00:00,8,Yes
65,167,Natural Disaster,2025-01-06 08:00:00,8,Yes
66,143,Health,2025-01-06 10:00:00,55,No
67,937,Safety,2025-01-06 12:00:00,56,Yes
68,946,Safety,2025-01-06 14:00:00,10,No
69,668,Theft,2025-01-06 16:00:00,27,No
70,167,Natural Disaster,2025-01-06 18:00:00,30,Yes
71,667,Health,2025-01-06 20:00:00,14,Yes
72,782,Natural Disaster,2025-01-06 22:00:00,26,Yes
73,449,Safety,2025-01-07 00:00:00,59,Yes
74,910,Theft,2025-01-07 02:00:00,26,Yes
75,666,Health,2025-01-07 04:00:00,9,No
76,685,Health,2025-01-07 06:00:00,55,No
77,935,Natural Disaster,2025-01-07 08:00:00,58,No
78,941,Safety,2025-01-07 10:00:00,3,No
79,560,Safety,2025-01-07 12:00:00,45,Yes
80,703,Theft,2025-01-07 14:00:00,29,No
81,269,Health,2025-01-07 16:00:00,26,No
82,981,Safety,2025-01-07 18:00:00,2,Yes
83,85,Safety,2025-01-07 20:00:00,34,Yes
84,988,Natural Disaster,2025-01-07 22:00:00,40,Yes
85,703,Natural Disaster,2025-01-08 00:00:00,26,Yes
86,769,Theft,2025-01-08 02:00:00,43,Yes
87,812,Natural Disaster,2025-01-08 04:00:00,44,Yes
88,73,Health,2025-01-08 06:00:00,18,Yes
89,721,Health,2025-01-08 08:00:00,21,Yes
90,180,Safety,2025-01-08 10:00:00,40,Yes
91,483,Health,2025-01-08 12:00:00,57,No
92,82,Safety,2025-01-08 14:00:00,33,Yes
93,791,Safety,2025-01-08 16:00:00,43,No
94,110,Theft,2025-01-08 18:00:00,43,No
95,665,Health,2025-01-08 20:00:00,12,No
96,492,Health,2025-01-08 22:00:00,51,Yes
97,651,Health,2025-01-09 00:00:00,42,No
98,468,Theft,2025-01-09 02:00:00,5,No
99,990,Natural Disaster,2025-01-09 04:00:00,53,No
100,319,Theft,2025-01-09 06:00:00,52,Yes
101,951,Safety,2025-01-09 08:00:00,35,No
102,24,Health,2025-01-09 10:00:00,22,No
103,548,Theft,2025-01-09 12:00:00,23,No
104,735,Health,2025-01-09 14:00:00,14,Yes
105,135,Safety,2025-01-09 16:00:00,9,Yes
106,644,Theft,2025-01-09 18:00:00,42,Yes
107,706,Natural Disaster,2025-01-09 20:00:00,53,Yes
108,828,Theft,2025-01-09 22:00:00,26,Yes
